aid1,aid2,PublicationId,Year
203,234,203750981,2014
309,857,2073266098,2014
203,423,203750981,2014
286,429,1991013789,2014
309,618,2073266098,2014
267,429,1991013789,2014
366,465,2073266098,2014
132,286,1991013789,2014
132,267,1991013789,2014
512,737,2603037059,2014
512,903,2603037059,2014
737,903,2603037059,2014
366,396,2073266098,2014
366,464,2073266098,2014
14,423,203750981,2014
132,429,1991013789,2014
396,465,2073266098,2014
366,468,2073266098,2014
144,247,1494089855,2014
234,787,203750981,2014
254,968,2520474058,2014
603,633,2520474058,2014
603,968,2520474058,2014
633,968,2520474058,2014
480,541,46228059,2014
480,542,46228059,2014
480,554,46228059,2014
480,747,46228059,2014
234,423,203750981,2014
396,857,2073266098,2014
175,787,203750981,2014
14,234,203750981,2014
267,286,1991013789,2014
14,203,203750981,2014
631,642,2071943011,2014
528,642,2071943011,2014
528,631,2071943011,2014
134,642,2071943011,2014
134,631,2071943011,2014
134,528,2071943011,2014
142,296,2070629046,2014
175,423,203750981,2014
175,234,203750981,2014
175,203,203750981,2014
142,144,2070629046,2014
48,296,2070629046,2014
48,142,2070629046,2014
254,633,2520474058,2014
93,604,2494015507,2014
195,549,2491425224,2014
810,1024,2478232644,2014
595,1024,2478232644,2014
595,810,2478232644,2014
227,1024,2478232644,2014
227,810,2478232644,2014
227,595,2478232644,2014
123,1024,2478232644,2014
123,810,2478232644,2014
123,595,2478232644,2014
768,788,11620612,2014
142,144,1494089855,2014
142,247,1494089855,2014
423,787,203750981,2014
70,156,2073040867,2014
70,231,2073040867,2014
123,227,2478232644,2014
70,404,2073040867,2014
70,280,2073040867,2014
754,822,2604258962,2014
754,803,2604258962,2014
803,822,2604258962,2014
14,160,203750981,2014
76,279,139819880,2014
768,788,82961883,2014
557,788,82961883,2014
557,768,82961883,2014
166,788,82961883,2014
166,768,82961883,2014
166,557,82961883,2014
458,640,2002326377,2014
35,454,2060194233,2014
309,465,2073266098,2014
14,175,203750981,2014
48,144,2070629046,2014
449,454,2060194233,2014
156,231,2073040867,2014
156,404,2073040867,2014
156,406,2073040867,2014
231,280,2073040867,2014
231,404,2073040867,2014
156,280,2073040867,2014
70,406,2073040867,2014
280,404,2073040867,2014
280,406,2073040867,2014
404,406,2073040867,2014
309,366,2073266098,2014
231,406,2073040867,2014
309,396,2073266098,2014
465,618,2313648816,2015
465,580,2313648816,2015
465,539,2313648816,2015
465,538,2313648816,2015
464,618,2313648816,2015
464,538,2313648816,2015
464,539,2313648816,2015
134,885,2346206994,2015
528,885,2346206994,2015
538,539,2313648816,2015
782,789,2466819814,2015
464,580,2313648816,2015
134,528,2346206994,2015
466,515,2596319894,2015
538,618,2313648816,2015
539,580,2313648816,2015
539,618,2313648816,2015
580,618,2313648816,2015
283,316,2146861327,2015
122,507,2281491157,2015
256,316,2146861327,2015
20,452,2139716420,2015
637,789,2466819814,2015
637,782,2466819814,2015
579,789,2466819814,2015
579,782,2466819814,2015
538,580,2313648816,2015
464,465,2313648816,2015
401,710,2165564781,2015
242,457,2500938939,2015
24,932,2130264783,2015
579,637,2466819814,2015
27,408,2130264783,2015
27,491,2130264783,2015
27,932,2130264783,2015
408,491,2130264783,2015
408,932,2130264783,2015
24,408,2130264783,2015
123,364,2088634259,2015
123,252,2088634259,2015
123,155,2088634259,2015
396,407,2292701398,2015
491,932,2130264783,2015
38,237,2169557639,2015
401,597,2165564781,2015
333,710,2165564781,2015
333,597,2165564781,2015
333,401,2165564781,2015
396,464,2313648816,2015
396,465,2313648816,2015
396,538,2313648816,2015
396,539,2313648816,2015
396,580,2313648816,2015
396,618,2313648816,2015
457,939,2500938939,2015
242,939,2500938939,2015
277,449,2168518512,2015
578,789,2466819814,2015
38,437,2169557639,2015
578,637,2466819814,2015
70,156,2182179159,2015
70,231,2182179159,2015
70,280,2182179159,2015
70,404,2182179159,2015
70,406,2182179159,2015
156,231,2182179159,2015
156,280,2182179159,2015
156,404,2182179159,2015
156,406,2182179159,2015
